EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
belgium_african_conquest_desc;Our country is interested on the african colonization but seems we arrived too late, maybe our people and our country need some motivation to get an african colony.;;;;Nuestro país está interesado en la colonización africana pero parece que llegamos demasiado tarde, tal vez nuestra gente y nuestro país necesiten algo de motivación para conseguir una colonia africana.;;;;;;;;x
release_congo_cores_title;Release Congo cores;;;;Liberar nucleos del Congo;;;;;;;;x
release_congo_cores_desc;Our country have not the time to keep the control of our colony in Congo and its necessary to release them as a vassal but first, we need some preparations.;;;;Nuestro país no tiene tiempo para mantener el control de nuestra colonia en el Congo y es necesario liberarlos como vasallos, pero primero, necesitamos algunos preparativos.;;;;;;;;x
neutrality_act_title;Act of Neutrality;;;;Acta de neutralidad;;;;;;;;x
neutrality_act_desc;The Treaty of London of 1839 was a treaty signed on 19 April 1839 between the Concert of Europe, the United Kingdom of the Netherlands and the Kingdom of Belgium.\n Under the treaty, the European powers recognised and guaranteed the independence and neutrality of Belgium and established the full independence of the German-speaking part of Luxembourg.;;;;El Tratado de Londres de 1839 fue un tratado firmado el 19 de abril de 1839 entre el Concierto de Europa, el Reino Unido de los Países Bajos y el Reino de Bélgica.\n En virtud del tratado, las potencias europeas reconocieron y garantizaron la independencia y neutralidad de Bélgica. y estableció la plena independencia de la parte de habla alemana de Luxemburgo.;;;;;;;;x
equality_statement_title;Equality statement;;;;Estatudo de Igualdad;;;;;;;;x
equality_statement_desc;With this statute it is decreed that the entire population of the Kingdom of Belgium, whether French-speaking or Dutch, shall have the same rights, obligations and freedoms.;;;;Con este estatuto se decreta que toda la población del Reino de Bélgica, sea francófona u holandesa, tendrá los mismos derechos, obligaciones y libertades.;;;;;;;;x
sub_belgian_1_title;The Treaty of Independence;;;;Tratado de Independencia;;;;;;;;x
sub_belgian_1_desc;With the signing of this treaty, our nation obtains the recognition of the nations as a completely independent and separate nation from Belgium.;;;;Con la firma de este tratado, nuestra nación obtiene el reconocimiento de las naciones como una nación completamente independiente y separada de Bélgica.;;;;;;;;x
sub_belgian_2_title;Regional industrialism;;;;Industrialización regional;;;;;;;;x
sub_belgian_2_desc;Our region has great mineral wealth and the industry inherited from Belgium provides us with a comfortable position in Europe. Our economy and industry are growing rapidly and with a little investment it could reach levels never seen before.;;;;Nuestra región tiene una gran riqueza mineral y la industria heredada de Bélgica nos proporciona una cómoda posición en Europa. Nuestra economía e industria están creciendo rápidamente y con una pequeña inversión podría alcanzar niveles nunca antes vistos.;;;;;;;;x
dutch_eic_title;Dutch East India Trade Company;;;;Compañía de las Indias Orientales Neerlandesas;;;;;;;;x
dutch_eic_desc;The Dutch East India Company, was a megacorporation founded by a government-directed amalgamation of several rival Dutch trading companies in the early 17th century.\n It was established on 20 March 1602, as a chartered company to trade with Mughal India in the early modern period, from which 50% of textiles and 80% of silks were imported, chiefly from its most developed region known as Bengal Subah.\n Now, restore the EITC may be usefull in order to maintain the monopoly of trade in the region.;;;;La Compañía Holandesa de las Indias Orientales, fue una megacorporación fundada por una fusión dirigida por el gobierno de varias empresas comerciales holandesas rivales a principios del siglo XVII.\n Se estableció el 20 de marzo de 1602, como una empresa autorizada para comerciar con la India mogol en período moderno temprano, del cual se importó el 50% de los textiles y el 80% de las sedas, principalmente de su región más desarrollada conocida como Bengala Subah.\n Ahora, restaurar el EITC puede ser útil para mantener el monopolio del comercio en la región.;;;;;;;;x
abandon_eic_dutch_title;End the Dutch EITC;;;;Fin de la EITC;;;;;;;;x
abandon_eic_dutch_desc;Historicaly, after the financially disastrous Fourth Anglo-Dutch War, 1780-1784, the company was nationalised in 1796 and finally dissolved on 31 December 1799. All assets were taken over by the government with VOC territories becoming Dutch government colonies.\n Now we see that the fate of this company is failure, we think that dissolving it will give us better control with the colonies since the company's treatment of the locals is very severe and has generated rebel movements in the region. Without a doubt, the decision to restore the company has not been entirely good.;;;;Históricamente, después de la financieramente desastrosa cuarta guerra anglo-holandesa, 1780-1784, la compañía fue nacionalizada en 1796 y finalmente disuelta el 31 de diciembre de 1799. Todos los activos fueron asumidos por el gobierno y los territorios de VOC se convirtieron en colonias del gobierno holandés.\n Vemos que el destino de esta empresa es el fracaso, pensamos que disolverla nos dará un mejor control con las colonias ya que el trato de la empresa a los lugareños es muy severo y ha generado movimientos rebeldes en la región. Sin duda, la decisión de restaurar la empresa no ha sido del todo buena.;;;;;;;;x
east_india_ruler_title;East India Ruler;;;;Gobernante de las Indias Orientales;;;;;;;;x
east_india_ruler_desc;The colonial tensions with our rival, Portugal, have increased in the region of the East Indies, we must end this rivalry with a definitive blow, taking their colonies will finally expel them from our area of influence.;;;;Las tensiones coloniales con nuestro rival, Portugal, se han incrementado en la región de las Indias Orientales, debemos acabar con esta rivalidad de un golpe definitivo, tomando sus colonias finalmente las expulsaremos de nuestra zona de influencia.;;;;;;;;x
restore_imperialism_title;Restore imperialism;;;;Restaurar el Imperialismo;;;;;;;;x
restore_imperialism_desc;The Portuguese Empire originated at the beginning of the Age of Discovery, and the power and influence of the Kingdom of Portugal would eventually expand across the globe. In the wake of the Reconquista, Portuguese sailors began exploring the coast of Africa and the Atlantic archipelagos in 1418-19, using recent developments in navigation, cartography and maritime technology such as the caravel, with the aim of finding a sea route to the source of the lucrative spice-trade. In 1488 Bartolomeu Dias rounded the Cape of Good Hope, and in 1498 Vasco da Gama reached India. In 1500, Pedro Álvares Cabral discovered Brazil on the South American coast.;;;;El Imperio Portugués se originó al comienzo de la Era de los Descubrimientos, y el poder y la influencia del Reino de Portugal eventualmente se expandirían por todo el mundo. A raíz de la Reconquista, los navegantes portugueses comenzaron a explorar la costa de África y los archipiélagos atlánticos en 1418-19, utilizando desarrollos recientes en navegación, cartografía y tecnología marítima como la carabela, con el objetivo de encontrar una ruta marítima a la fuente del lucrativo comercio de especias. En 1488 Bartolomeu Dias rodeó el Cabo de Buena Esperanza y en 1498 Vasco da Gama llegó a la India. En 1500, Pedro Álvares Cabral descubrió Brasil en la costa sudamericana.;;;;;;;;x
aragon_legacy_title;Aragon legacy;;;;Legado de Aragón;;;;;;;;x
aragon_legacy_desc;Before the union to form Spain, the Kingdom of Aragon had great power and influence over the entire Mediterranean Sea, with conquests in Italy and Africa, that glory is ours and belongs to us and therefore, recovering the territories is our mission.;;;;Antes de la unión para formar España, el Reino de Aragón tenía un gran poder e influencia sobre todo el Mediterráneo, con conquistas en Italia y África, esa gloria es nuestra y nos pertenece y por tanto, recuperar los territorios es nuestra misión.;;;;;;;;x
catalan_identity_title;Catalan identity;;;;Identidad Catalán;;;;;;;;x
catalan_identity_desc;We must strive to make the difference between our culture and the Spanish, if we want to maintain our independence and peace in our nation, it is important to reinforce our identity. A powerful tool will be religion.;;;;Debemos esforzarnos por marcar la diferencia entre nuestra cultura y la española, si queremos mantener nuestra independencia y paz en nuestra nación, es importante reforzar nuestra identidad. Una herramienta poderosa será la religión.;;;;;;;;x
balkan_neutrality_title;The neutral of the balkans;;;;El neutral de los balcanes;;;;;;;;x
balkan_neutrality_desc;While the tension in the Balkans increases, the position of our nation must be attentive to this, the best way to maintain our independence is to avoid conflicts.;;;;Mientras aumenta la tensión en los Balcanes, la posición de nuestra nación debe estar atenta a esto, la mejor manera de mantener nuestra independencia es evitar conflictos.;;;;;;;;x
balkan_identity_title;Balkan identity;;;;Identidad Balcánica;;;;;;;;x
balkan_identity_desc;The Ottomans maintained control over the territory of the Balkans for a long time, so it is urgent to reinforce the identity of our population and prevent rebel movements.;;;;Los otomanos mantuvieron el control sobre el territorio de los Balcanes durante mucho tiempo, por lo que es urgente reforzar la identidad de nuestra población y evitar movimientos rebeldes.;;;;;;;;x
balkans_protector_title;Balkans protector;;;;Protector de los Balcanes;;;;;;;;x
balkans_protector_desc;For decades, Russia has been appointed as the protector of the Balkans, but with our rise among the European Powers, we too can keep the region safe and protect our culture and our brothers.;;;;Durante décadas, Rusia ha sido nombrada protectora de los Balcanes, pero con nuestro ascenso entre las potencias europeas, nosotros también podemos mantener la región segura y proteger nuestra cultura y nuestros hermanos.;;;;;;;;x
montenegro_restoration_title;Montenegro restoration;;;;Restauración de Montenegro;;;;;;;;x
montenegro_restoration_desc;Even being independent, the Ottomans maintain control of almost the entire region that by right belongs to us, thousands of people of our nationality remain under Ottoman control, so requesting international support from the Great Powers to demand the liberation of our peoples is crucial.;;;;Aún siendo independientes, los otomanos mantienen el control de casi toda la región que por derecho nos pertenece, miles de personas de nuestra nacionalidad permanecen bajo control otomano, por lo que solicitar el apoyo internacional de las Grandes Potencias para exigir la liberación de nuestros pueblos es crucial.;;;;;;;;x
balkan_league_bul_title;Balkan League;;;;Liga Balcánica;;;;;;;;x
balkan_league_bul_desc;The First Balkan War lasted from October 1912 to May 1913 and involved actions of the Balkan League (the Kingdoms of Bulgaria, Serbia, Greece and Montenegro) against the Ottoman Empire. The Balkan states' combined armies overcame the initially numerically inferior (significantly superior by the end of the conflict) and strategically disadvantaged Ottoman armies and achieved rapid success.;;;;La Primera Guerra de los Balcanes duró desde octubre de 1912 hasta mayo de 1913 e involucró acciones de la Liga Balcánica (los Reinos de Bulgaria, Serbia, Grecia y Montenegro) contra el Imperio Otomano. Los ejércitos combinados de los estados balcánicos superaron la inicial desventaja numerica (significativamente superior al final del conflicto) y a los ejércitos otomanos estratégicamente desfavorecidos y lograron un éxito rápido.;;;;;;;;x
grand_bulgaria_title;Grand Bulgaria;;;;Gran Bulgaria;;;;;;;;x
grand_bulgaria_desc;The medieval Bulgarian state was restored as the Second Bulgarian Empire after a successful uprising of two nobles from Tarnovo, Asen and Peter, in 1185, and existed until it was conquered during the Ottoman invasion of the Balkans in the late 14th century, with the date of its subjugation usually given as 1396, although some fringe views place it at 1422. Until 1256, the Second Bulgarian Empire was the dominant power in the Balkans, defeating the Byzantine Empire in several major battles.;;;;El estado medieval búlgaro fue restaurado como el Segundo Imperio Búlgaro después de un exitoso levantamiento de dos nobles de Tarnovo, Asen y Peter, en 1185, y existió hasta que fue conquistado durante la invasión otomana de los Balcanes a finales del siglo XIV, con la fecha de su subyugación generalmente se da como 1396, aunque algunas opiniones marginales lo ubican en 1422. Hasta 1256, el Segundo Imperio Búlgaro fue el poder dominante en los Balcanes, derrotando al Imperio Bizantino en varias batallas importantes.;;;;;;;;x
myths_and_history_land_title;Myths and History;;;;Mitos e Historia;;;;;;;;x
myths_and_history_land_desc;The island of Crete has always been the subject of numerous myths and legends, our people should feel proud to live here and should learn about our history and our destiny.;;;;La isla de Creta siempre ha sido objeto de numerosos mitos y leyendas, nuestra gente debe sentirse orgullosa de vivir aquí y debe aprender sobre nuestra historia y nuestro destino.;;;;;;;;x
mediterranean_jewel_title;Mediterranean Jewel;;;;Joya del Mediterraneo;;;;;;;;x
mediterranean_jewel_desc;With our great naval development we can take control of an area of the disputed Mediterranean Sea, without a doubt, dominating the seas will give us economic options and new trade routes.;;;;Con nuestro gran desarrollo naval podemos tomar el control de una zona del disputado Mar Mediterráneo, sin duda, dominar los mares nos dará opciones económicas y nuevas rutas comerciales.;;;;;;;;x
land_selling_title;Land selling;;;;Venta de tierras;;;;;;;;x
land_selling_desc;The economic situation is bad and we do not have enough income to apply improvements, we must turn to the nobility of the kingdom and sell land of the crown to overcome this crisis.;;;;La situación económica es mala y no tenemos ingresos suficientes para aplicar mejoras, debemos recurrir a la nobleza del reino y vender tierras de la corona para superar esta crisis.;;;;;;;;x
heart_of_europe_title;The Heart of Europe;;;;El Corazón de Europa;;;;;;;;x
heart_of_europe_desc;In the center of Europe, the Slovak and Czech peoples have managed to form a nation of their own, it is time to reinforce their identity.;;;;En el centro de Europa, los pueblos eslovaco y checo han logrado formar una nación propia, es hora de reforzar su identidad.;;;;;;;;x
protestant_defender_title;Protestant Defender;;;;Defensor Protestante;;;;;;;;x
protestant_defender_desc;The religion in this nation is almost entirely Protestant, a religion that we have maintained for centuries and that helps us to form ties with the rest of the Protestant nations.;;;;La religión en esta nación es casi en su totalidad protestante, una religión que hemos mantenido durante siglos y que nos ayuda a formar lazos con el resto de naciones protestantes.;;;;;;;;x
krakovian_democracy_title;Krakovian democracy;;;;Democracia de Cracovia;;;;;;;;x
krakovian_democracy_desc;Unlike the rest of the great European nations, Krakow has a democratic system of government, which has given it great prestige in the rest of the world and makes it a nation of interest to immigrants.;;;;A diferencia del resto de las grandes naciones europeas, Cracovia tiene un sistema de gobierno democrático, lo que le ha dado un gran prestigio en el resto del mundo y la convierte en una nación de interés para los inmigrantes.;;;;;;;;x
poland_industrialization_title;Polish industrialization;;;;Industrialización Polaca;;;;;;;;x
poland_industrialization_desc;The Polish region is a place of great mineral assets that allow the owner of the land to develop great industrial power. We must invest in developing industry in the Krakow region to prevent the Great Powers from taking advantage of our lack of control.;;;;La región polaca es un lugar de grandes activos minerales que permiten al propietario de la tierra desarrollar un gran poder industrial. Debemos invertir en el desarrollo de la industria en la región de Cracovia para evitar que las grandes potencias se aprovechen de nuestra falta de control.;;;;;;;;x
baltic_prosperity_title;Baltic Sea Prosperity;;;;Prosperidad del Mar Báltico;;;;;;;;x
baltic_prosperity_desc;The Baltic Sea has become a prosperous trade route between the northern countries with the rest of Europe and the world, if we can get a port and a fleet that give us control over the area we could develop our nation.;;;;El Mar Báltico se ha convertido en una próspera ruta comercial entre los países del norte con el resto de Europa y el mundo, si conseguimos un puerto y una flota que nos dé control sobre la zona podríamos desarrollar nuestra nación.;;;;;;;;x
new_world_europe_title;The New World of Europe;;;;El nuevo mundo de Europa;;;;;;;;x
new_world_europe_desc;The Baltic countries have always remained distant and alien to the problems of the rest of Europe, their population is more liberal and their governments are more open to accepting the demands of their population.;;;;Los países bálticos siempre se han mantenido distantes y ajenos a los problemas del resto de Europa, su población es más liberal y sus gobiernos están más abiertos a aceptar las demandas de su población.;;;;;;;;x
tech_support_title;Tech Support;;;;Soporte Tecnológico;;;;;;;;x
tech_support_desc;Our nation is currently going through technological difficulties, we are far behind Western Europe, one option is to ask our allies for technological support.;;;;Nuestra nación atraviesa actualmente dificultades tecnológicas, estamos muy por detrás de Europa Occidental, una opción es pedir apoyo tecnológico a nuestros aliados.;;;;;;;;x
black_sea_jewel_title;Black Sea Jewel;;;;Joya del Mar Negro;;;;;;;;x
black_sea_jewel_desc;Our nation, historically small, has always been a target of interest from the Great Powers, but now we have developed our technology and culture to a level that has guaranteed us the security and the power to have control of our land and our seas.;;;;Nuestra nación, históricamente pequeña, siempre ha sido un objetivo de interés de las Grandes Potencias, pero ahora hemos desarrollado nuestra tecnología y cultura a un nivel que nos ha garantizado la seguridad y el poder para tener el control de nuestra tierra y nuestros mares.;;;;;;;;x
true_ruler_of_slavs_title;The True Ruler of Slavs;;;;El Verdadero Señor de los Eslavos;;;;;;;;x
true_ruler_of_slavs_desc;For centuries, the Slavic peoples have depended on distant Russia for protection from eastern and western threats, now that our nation is independent and powerful, we will take over the region.;;;;Durante siglos, los pueblos eslavos han dependido de la lejana Rusia para protegerse de las amenazas orientales y occidentales, ahora que nuestra nación es independiente y poderosa, nos haremos cargo de la región.;;;;;;;;x
education_reform_rut_title;Education Reform;;;;Reforma Educativa;;;;;;;;x
education_reform_rut_desc;Without more foreign influence, we can develop our culture and nation by ourselves, but the first thing will be an education reform.;;;;Sin más influencia extranjera, podemos desarrollar nuestra cultura y nuestra nación por nosotros mismos, pero lo primero será una reforma educativa.;;;;;;;;x
ruthenia_land_title;Ruthenia's Art and Culture;;;;Arte y Cultura de Rutenia;;;;;;;;x
ruthenia_land_desc;The population still does not feel fully a Ruthenian, that is why we must create a feeling of belonging and nationalism, our culture is rich in history and that is why we must create art that tells our story so that each person feels part of this nation.;;;;La población aún no se siente plenamente rutena, por eso debemos crear un sentimiento de pertenencia y nacionalismo, nuestra cultura es rica en historia y por eso debemos crear arte que cuente nuestra historia para que cada persona se sienta parte de esta nación.;;;;;;;;x
transylvanian_people_title;Transylvanian People;;;;Pueblo de Transilvania;;;;;;;;x
transylvanian_people_desc;With our recent independence, not all the Transylvanian peoples remained within our borders, that is why we must recover them from foreign hands.;;;;Con nuestra reciente independencia, no todos los pueblos de Transilvania permanecieron dentro de nuestras fronteras, por eso debemos recuperarlos de manos extranjeras.;;;;;;;;x
budjak_secesion_title;Budjak Secession;;;;Secesión de Budjak;;;;;;;;x
budjak_secesion_desc;Relations with our protector, Russia, are the best, since our independence they have given us economic, technological and military support. Now to strengthen their control in the region, they are willing to sell us the Budjak region, home to thousands of Romanians.;;;;Las relaciones con nuestro protector, Rusia, son las mejores, desde nuestra independencia nos han brindado apoyo económico, tecnológico y militar. Ahora, para fortalecer su control en la región, están dispuestos a vendernos la región de Budjak, hogar de miles de rumanos.;;;;;;;;x
kyievska_rus_ukr_title;Kyievska Rus;;;;Rus de Kiev;;;;;;;;x
kyievska_rus_ukr_desc;Historically, our ancestors owned the region that is now in the hands of Russia, it is our duty to recover the land that by right belongs to us and is home to thousands of people from our nation.;;;;Históricamente, nuestros antepasados poseían la región que ahora está en manos de Rusia, es nuestro deber recuperar la tierra que por derecho nos pertenece y es el hogar de miles de personas de nuestra nación.;;;;;;;;x
kiev_legacy_title;Kiev Legacy;;;;Legado de Kiev;;;;;;;;x
kiev_legacy_desc;Our people have always been recognized as being one of the strongest in the world, our development was feared by Western Europe and our pride was the most important. It is time to regain that pride and respect with our great anthem, an anthem that represents our glorious people.;;;;Nuestra gente siempre ha sido reconocida como una de las más fuertes del mundo, nuestro desarrollo fue temido por Europa Occidental y nuestro orgullo era lo más importante. Es hora de recuperar ese orgullo y respeto con nuestro gran himno, un himno que representa a nuestro glorioso pueblo.;;;;;;;;x
brothers_in_arms_wal_title;Brothers in Arms for Romania;;;;Hermanos de Armas por Rumania;;;;;;;;x
brothers_in_arms_wal_desc;We are at war for our independence, for a free Romania, and those Ottomans force our brothers to fight, we must make a pact with them so that they will abandon the fight and stand on our side to achieve the unification and liberation of the Romanian peoples.;;;;Estamos en guerra por nuestra independencia, por una Rumanía libre, y esos otomanos obligan a nuestros hermanos a luchar, debemos hacer un pacto con ellos para que abandonen la lucha y se pongan de nuestro lado para lograr la unificación y liberación de los rumanos. pueblos.;;;;;;;;x
brothers_in_arms_mol_title;Brothers in Arms for Romania;;;;Hermanos de Armas por Rumania;;;;;;;;x
brothers_in_arms_mol_desc;We are at war for our independence, for a free Romania, and those Ottomans force our brothers to fight, we must make a pact with them so that they will abandon the fight and stand on our side to achieve the unification and liberation of the Romanian peoples.;;;;Estamos en guerra por nuestra independencia, por una Rumanía libre, y esos otomanos obligan a nuestros hermanos a luchar, debemos hacer un pacto con ellos para que abandonen la lucha y se pongan de nuestro lado para lograr la unificación y liberación de los rumanos. pueblos.;;;;;;;;x
nationalist_movement_of_liberation_title; Nationalist movement of liberation;;;;Movimiento nacionalista de liberación;;;;;;;;x
nationalist_movement_of_liberation_desc;The 'First Serbian Uprising' paved the way for the second uprising of 1815, which eventually turned out in favor of Serbia. The resurgent Serbia eventually rose up as a center for resistance to the Ottomans, actively supporting future liberation movements in neighboring Christian territories, especially Bosnia, Bulgaria, and Macedonia.;;;;El 'Primer alzamiento de Serbia' allanó el camino para el segundo alzamiento de 1815, el cual eventualmente le resultó favorable a Serbia. La Serbia resurgida eventualmente se levantó como un centro para la resistencia a los otomanos, apoyando activamente a los futuros movimientos de liberación en los territorios cristianos vecinos, especialmente en Bosnia, Bulgaria y Macedonia.;;;;;;;;x
treaty_of_berlin_rom_title;Treaty of Berlin 1878;;;;Tratado de Berlín de 1878;;;;;;;;x
treaty_of_berlin_rom_desc;Was signed on 13 July 1878. In the aftermath of the Russian victory against the Ottoman Empire in the Russo-Turkish War of 1877, the major powers restructured the map of the Balkan region.\n The most notable result of the conference was the official recognition of the newly independent states of the Romania, the Serbia and the Montenegro.\n Despite the pleas of the Romanian delegates, Romania was forced to cede southern Bessarabia to the Russian Empire. As a compensation, Romania received Dobruja, including the Danube Delta.;;;;Fue firmado el 13 de julio de 1878. A raíz de la victoria rusa contra el Imperio Otomano en la Guerra Ruso-Turca de 1877, las principales potencias reestructuraron el mapa de la región de los Balcanes.\n El resultado más notable de la conferencia fue el reconocimiento de los nuevos estados independientes de Rumania, Serbia y Montenegro.\n A pesar de las súplicas de los delegados rumanos, Rumania se vio obligada a ceder el sur de Besarabia al Imperio ruso. Como compensación, Rumania recibió Dobruja, incluido el delta del Danubio.;;;;;;;;x
reject_zollverein_title;Reject the Zollverein;;;;Rechazar el Zollverein;;;;;;;;x
reject_zollverein_desc;The Zollverein, or German Customs Union, was a coalition of German states formed to manage tariffs and economic policies within their territories. Organized by the 1833 Zollverein treaties, it formally started on 1 January 1834.\n However, its foundations had been in development from 1818 with the creation of a variety of custom unions among the German states. By 1866, the Zollverein included most of the German states. The foundation of the Zollverein was the first instance in history in which independent states consummated a full economic union without the simultaneous creation of a political federation or union.;;;;Zollverein ó Unión Aduanera Alemana fue una organización de aduanas realizada en 1834 por medio de la cual se suprimieron los aranceles entre los miembros de la Confederación Germánica, a excepción de Austria.\n Varios Estados de la Confederación experimentaron un considerable desarrollo económico a partir de 1815.\n La Unión aduanera promovió la unidad de tarifas aduaneras en un proceso de unificación económica que Austria no pudo impedir a pesar de que controlaba la dirección política de la Confederación.;;;;;;;;x
make_an_anthem_title;Make an Anthem;;;;Crear un Himno;;;;;;;;x
make_an_anthem_desc;After independence most people do not know how to feel, they lack a national identity. A good support would be the creation of a unique anthem.;;;;Después de la independencia, la mayoría de la gente no sabe cómo sentirse, carece de identidad nacional. Un buen apoyo sería la creación de un himno único.;;;;;;;;x
join_commonwealth_title;Join in a commonwealth;;;;Unirse en la Mancomunidad;;;;;;;;x
join_commonwealth_desc;Despite being different nations, we still share a great bond with England, therefore, joining a coalition for military, economic and technological collaboration would be a great step towards true peace and a stable region.;;;;A pesar de ser naciones diferentes, todavía compartimos un gran vínculo con Inglaterra, por lo tanto, unirnos a una coalición de colaboración militar, económica y tecnológica sería un gran paso hacia la verdadera paz y una región estable.;;;;;;;;x
restore_celtics_title;Restore Celtic Learnings;;;;Restaurar Enseñanzas Celtas;;;;;;;;x
restore_celtics_desc;Creating an own and unique identity must be a priority to appease the feelings of reintegration to the UK, so returning to the ancient and religious customs of our people would be a huge step to define our nation.;;;;Crear una identidad propia y única debe ser una prioridad para apaciguar los sentimientos de reintegración al Reino Unido, por lo que volver a las antiguas y religiosas costumbres de nuestro pueblo sería un gran paso para definir nuestra nación.;;;;;;;;x
guayana_colony_title;Expand the Guayana colony;;;;Expandir la colonia de Guyana;;;;;;;;x
guayana_colony_desc;With our great influence over Venezuela, we could force them to sell us part of their territory in order to integrate it into our Guayana colony, in addition to helping them with their economic problem.;;;;Con nuestra gran influencia sobre Venezuela, podríamos obligarlos a vendernos parte de su territorio para integrarlo a nuestra colonia Guayana, además de ayudarlos con su problema económico.;;;;;;;;x
treaty_of_nanking_eng_title;Traty of Nanking;;;;Tratado de Nankín;;;;;;;;x
treaty_of_nanking_eng_desc;The Treaty of Nanking was a peace treaty which ended the First Opium War between the United Kingdom and China on 29 August 1842. It was the first of what the Chinese later called the unequal treaties.\n The Qing government agreed to make Hong Kong Island a crown colony, ceding it to the British Queen, Queen Victoria 'in perpetuity', to provide British traders with a harbour where they could 'careen and refit their ships and keep stores for that purpose'.;;;;El Tratado de Nankín fue un tratado de paz que puso fin a la Primera Guerra del Opio entre el Reino Unido y China el 29 de agosto de 1842. Fue el primero de lo que los chinos llamaron más tarde los tratados desiguales.\n El gobierno de Qing acordó convertir la isla de Hong Kong en una colonia de la corona, cediéndola a la reina británica, la reina Victoria 'a perpetuidad', para proporcionar a los comerciantes británicos un puerto en el que pudieran 'desplazarse y reacondicionar sus barcos y guardar provisiones para ese fin'.;;;;;;;;x
indian_empress_dream_title;Indian Empress Dream;;;;Sueño de la Emperatriz de la India;;;;;;;;x
indian_empress_dream_desc;The nationalistic feeling begins to grow among the population of India, the idea of forming a great nation, as the ancient empires resonates strongly, this idea begins to reach the head of the government.;;;;El sentimiento nacionalista comienza a crecer entre la población de la India, la idea de formar una gran nación, como los antiguos imperios resuena con fuerza, esta idea comienza a llegar al jefe de gobierno.;;;;;;;;x
indian_trade_title;Indian Trade;;;;Comercio Indio;;;;;;;;x
indian_trade_desc;The trade in unique and exotic spices begins to grow, our vast lands and enormous agricultural capacity will allow us to dominate this type of trade.;;;;Comienza a crecer el comercio de especias únicas y exóticas, nuestras vastas tierras y enorme capacidad agrícola nos permitirán dominar este tipo de comercio.;;;;;;;;x
claim_independence_india_title;Claim Independe;;;;Reclamar Independencia;;;;;;;;x
claim_independence_india_desc;The era of British rule over our region is over, it is time to raise our weapons and claim our independence.;;;;La era del dominio británico sobre nuestra región ha terminado, es hora de levantar nuestras armas y reclamar nuestra independencia.;;;;;;;;x
german_tanzania_title;German East Africa;;;;África Oriental Alemana;;;;;;;;x
german_tanzania_desc;In 1884, pursuant to the Berlin Conference, colonies were officially established on the African west coast, often in areas already inhabited by German missionaries and merchants. The following year gunboats were dispatched to East Africa to contest the Sultan of Zanzibar's claims of sovereignty over the mainland in what is today Tanzania. Settlements in modern Guinea and Nigeria's Ondo State failed within a year, those in Cameroon, Namibia, Tanzania and Togo quickly grew into lucrative colonies.;;;;En 1884, de conformidad con la Conferencia de Berlín, se establecieron oficialmente colonias en la costa occidental africana, a menudo en áreas ya habitadas por misioneros y comerciantes alemanes. Al año siguiente, se enviaron cañoneras a África Oriental para impugnar las reclamaciones de soberanía del sultán de Zanzíbar sobre el continente en lo que hoy es Tanzania. Los asentamientos en la Guinea moderna y el estado de Ondo en Nigeria fracasaron en un año, las de Camerún, Namibia, Tanzania y Togo se convirtieron rápidamente en lucrativas colonias.;;;;;;;;x
restore_greeks_title;Restore Greeks Learnings;;;;Restaurar Enseñanzas Griegas;;;;;;;;x
restore_greeks_desc;Our ancient and glorious kingdom has recovered most of its lands, it is time to reinforce the culture and our beliefs in the recovered regions.;;;;Nuestro antiguo y glorioso reino ha recuperado la mayor parte de sus tierras, es hora de reforzar la cultura y nuestras creencias en las regiones recuperadas.;;;;;;;;x
roman_empire_legacy_title;Roman Empire Legacy;;;;Legado del Imperio Romano;;;;;;;;x
roman_empire_legacy_desc;Our mighty empire, now in control of the entire region formerly owned by the Eastern Roman Empire, also known as the Byzantine Empire, is so powerful that the dream of reclaiming even the western area can come true, taking the former center of the Roman Empire, Italy, will be the next step for the restoration of the glory of the empire.;;;;Nuestro poderoso imperio, ahora en control de toda la región que antes era propiedad del Imperio Romano de Oriente, también conocido como Imperio Bizantino, es tan poderoso que el sueño de recuperar incluso el área occidental puede hacerse realidad, tomando el antiguo centro del Imperio Romano, Italia, será el siguiente paso para la restauración de la gloria del imperio.;;;;;;;;x
ottoman_rivalry_title;Ottoman Rivalry;;;;Rivalidad Otomana;;;;;;;;x
ottoman_rivalry_desc;For decades the Ottomans have attacked our empire, wanting to take control of our lands and mock our glory. Now, as the reformed Byzantine Empire, it is our turn to take the initiative and seize their territory and end this rivalry.;;;;Durante décadas, los otomanos han atacado nuestro imperio, queriendo tomar el control de nuestras tierras y burlarse de nuestra gloria. Ahora, como Imperio Bizantino reformado, es nuestro turno de tomar la iniciativa y apoderarse de su territorio y poner fin a esta rivalidad.;;;;;;;;x
egyptian_concessions1_title;Ankara Concession;;;;Concesión de Ankara;;;;;;;;x
egyptian_concessions1_desc;Our autonomous region of Egypt begins to gain a lot of power, we must take advantage of that but also control them, taking the regions closest to the center of our empire will be a good measure.;;;;Nuestra región autónoma de comienza Egipto a ganar mucho poder, debemos aprovechar eso pero también controlarlos, tomar las regiones más cercanas al centro de nuestro imperio será una buena medida.;;;;;;;;x
egyptian_concessions2_title;Syria concession;;;;Concesión de Siria;;;;;;;;x
